,profile_id,lat,lon,prediction
288,5904262_203,-41.187,168.27,0
289,5904267_174,-58.334,-108.75,1
290,5904267_192,-58.205,-102.524,1
291,5904275_193,-2.481,-109.674,0
292,5904295_164,1.731,-154.74,3
293,5904296_156,-2.141,153.111,3
294,5904336_229,-31.3265,162.12481,0
295,5904359_188,-6.80231,159.005,5
296,5904365_237,-8.46552,161.76439,5
297,5904371_224,-41.07004,139.90205,0
298,5904382_167,5.031,179.243,3
299,5904386_191,-7.12088,175.92431,5
300,5904409_185,9.987,-163.359,2
301,5904460_275,14.287,179.009,3
302,5904461_302,21.619,-146.211,3
303,5904463_350,11.101,-153.449,2
304,5904482_207,-56.418,151.018,1
305,5904483_178,-58.282,-157.133,1
306,5904489_159,39.108,-151.78,6
307,5904517_233,-0.85524,153.62488,3
308,5904526_246,2.9673,147.5659,3
309,5904527_224,2.65505,-150.56497,3
310,5904528_238,-55.75174,-103.23728,4
311,5904531_223,-1.23358,124.6966,3
312,5904533_247,-59.977,-115.915,1
313,5904536_176,-31.33233,-176.19356,0
314,5904536_185,-27.91609,-177.83676,7
315,5904537_156,-42.73689,-175.36138,0
316,5904553_153,0.429,-159.706,3
317,5904558_135,2.01,-172.502,3
318,5904559_150,3.68,175.508,3
319,5904596_224,-57.253,-162.986,1
320,5904597_169,-62.943,171.47,1
321,5904600_239,-7.005,-130.219,3
322,5904605_144,-38.629,-160.497,6
323,5904611_130,-38.493,-176.136,0
324,5904615_125,-37.545,-175.86,0
325,5904617_124,-41.432,-130.739,6
326,5904621_116,-38.737,-124.738,6
327,5904622_143,-26.46,-155.527,7
328,5904625_137,-34.375,-122.428,0
329,5904627_139,-19.967,-137.906,5
330,5904644_127,-10.4,-128.549,3
331,5904647_106,-10.724,-145.551,5
332,5904649_109,-26.118,-145.574,7
333,5904650_121,-22.689,164.113,7
334,5904697_141,6.046,170.322,3
335,5904703_127,-7.435,-121.358,3
336,5904704_94,5.006,168.775,3
337,5904707_123,4.318,-151.389,3
338,5904708_111,-1.241,-118.357,2
339,5904711_127,10.02,-173.98,3
340,5904713_94,-54.308,-139.835,4
341,5904714_145,2.533,-161.53,3
342,5904715_109,6.506,-164.404,2
343,5904718_112,6.098,-156.725,2
344,5904727_48,-38.991,-162.193,6
345,5904735_124,2.997,-138.807,3
346,5904741_75,38.535,146.787,6
347,5904766_111,-58.961,-101.8,4
348,5904767_79,-62.357,-135.154,1
349,5904782_69,7.919,-122.53,2
350,5904801_102,-44.046,167.177,6
351,5904803_93,-52.403,-163.293,4
352,5904806_77,-54.066,158.26,4
353,5904814_62,-39.673,166.424,0
354,5904846_52,-39.055,140.75,0
355,5904850_112,-37.867,-111.713,6
356,5904851_178,-46.073,-109.381,6
357,5904852_201,-24.062,-101.702,0
358,5904866_66,45.541,-163.148,4
359,5904884_185,-46.897,-140.003,6
360,5904898_133,-51.959,142.247,4
361,5904907_136,1.252,134.581,3
